I l 70.2 99.9 26.4 11.5 1.0 0.970 0.970 8.8 12.2
II l 46.0 32.7 12.1 19.9 1.0 0.933 0.992 13.3 4.2
II r 38.7 9.7 19.6 18.9 0.5 0.987 0.941 5.7 13.3
IV l 34.2 15.5 199.2 17.1 0.8 0.964 0.922 10.6 13.3
V l 2.2 14.2 64.5 30.3 1.0 0.973 0.955 8.1 14.4
V r 28.2 8.0 15.1 10.5 0.6 0.983 0.965 6.5 12.5
VI l 82.1 43.6 120.1 24.2 0.5 0.964 0.963 9.3 12.4
VI r 54.8 2.9 20.3 31.2 1.0 0.951 0.918 10.3 14.2
VII r 73.1 5.1 116.8 14.0 0.7 0.956 0.945 11.6 11.2
VIII r 54.8 13.0 91.5 26.1 0.9 0.995 0.909 3.3 14.1
IX r 4.9 68.2 71.8 20.9 0.6 0.961 0.983 9.9 8.6
Mean Mean 44.5 28.4 68.9 20.4 0.8 0.967 0.951 8.9 11.9
SD SD 26.2 30.8 59.3 7.0 0.2 0.018 0.027 2.8 3.0
